Button508 | Button | (493.7,10.4,568.3,26.4) | หน้า 7 ล้างข้อมูลหน้า 7
Text36.11 | Text | (180.7,62.3,567.2,77.5) | ชื่อ (บริษัทหรือห้างหุ้นส่วนนิติบุคคล) .......................................................................
Text475 | Text | (188.3,82.4,210.8,95.0) | สำ�หรับรอบระยะเวลาบัญชี ตั้งแต่วันที่ เดือน พ.ศ. ถึงวันที่ เดือน
Text476 | Text | (236.3,82.4,261.0,95.0) | สำ�หรับรอบระยะเวลาบัญชี ตั้งแต่วันที่ เดือน พ.ศ. ถึงวันที่ เดือน
Text477 | Text | (282.9,82.4,328.6,95.0) | สำ�หรับรอบระยะเวลาบัญชี ตั้งแต่วันที่ เดือน พ.ศ. ถึงวันที่ เดือน พ.ศ.
Text478 | Text | (365.7,82.4,388.3,95.0) | สำ�หรับรอบระยะเวลาบัญชี ตั้งแต่วันที่ เดือน พ.ศ. ถึงวันที่ เดือน พ.ศ.
Text479 | Text | (412.7,82.4,438.8,95.0) | สำ�หรับรอบระยะเวลาบัญชี ตั้งแต่วันที่ เดือน พ.ศ. ถึงวันที่ เดือน พ.ศ.
Text480 | Text | (463.9,82.4,509.6,95.0) | สำ�หรับรอบระยะเวลาบัญชี ตั้งแต่วันที่ เดือน พ.ศ. ถึงวันที่ เดือน พ.ศ.
Text481 | Text | (129.0,148.9,568.0,162.9) | มี เพราะ .....................................................................................................
Group991 | RadioButton on={'normal': ['Choice1', 'Off'], 'down': ['Choice1', 'Off']} | (78.8,150.8,92.5,165.0) | มี เพราะ .....................................................................................................
Group991 | RadioButton on={'normal': ['Choice2', 'Off'], 'down': ['Choice2', 'Off']} | (78.7,167.7,92.4,180.8) | ไม่มี
Text482 | Text | (128.4,198.6,567.4,212.6) | มี เพราะ .....................................................................................................
Group992 | RadioButton on={'normal': ['1', 'Off'], 'down': ['1', 'Off']} | (78.3,200.4,91.9,214.6) | มี เพราะ .....................................................................................................
Group992 | RadioButton on={'normal': ['2', 'Off'], 'down': ['2', 'Off']} | (78.2,217.4,91.8,230.5) | ไม่มี
Text483 | Text | (128.4,249.3,567.4,263.4) | มี เพราะ .....................................................................................................
Group993 | RadioButton on={'normal': ['1', 'Off'], 'down': ['1', 'Off']} | (78.3,251.2,91.9,265.4) | มี เพราะ .....................................................................................................
Group993 | RadioButton on={'normal': ['2', 'Off'], 'down': ['2', 'Off']} | (78.2,268.2,91.8,281.3) | ไม่มี
Text484 | Text | (128.1,301.2,567.1,315.2) | มี เพราะ .....................................................................................................
Group994 | RadioButton on={'normal': ['1', 'Off'], 'down': ['1', 'Off']} | (77.9,303.0,91.6,317.3) | มี เพราะ .....................................................................................................
Group994 | RadioButton on={'normal': ['2', 'Off'], 'down': ['2', 'Off']} | (77.8,320.0,91.5,333.1) | ไม่มี
Group995 | RadioButton on={'normal': ['1', 'Off'], 'down': ['1', 'Off']} | (78.6,352.4,92.2,366.6) | ได้ดำ�เนินการครบถ้วนแล้ว
Text485 | Text | (182.4,367.7,566.4,381.7) | ไม่ได้ดำ�เนินการ เพราะ .......................................................................................
Group995 | RadioButton on={'normal': ['2', 'Off'], 'down': ['2', 'Off']} | (78.5,369.3,92.1,382.5) | ไม่ได้ดำ�เนินการ เพราะ .......................................................................................
Text486 | Text | (96.6,384.0,567.0,398.0) | ..............................................................................................................
Text487 | Text | (97.4,464.8,265.9,478.9) | ( ........................................................................................................ ) ป
Text489 | Text | (358.0,464.8,526.4,478.9) | ( ........................................................................................................ ) ป
Text488 | Text | (112.1,481.5,268.4,495.5) | ตำ�แหน่ง ................................................................................................. (ถ้
Text490 | Text | (371.8,481.9,529.0,496.0) | ตำ�แหน่ง ................................................................................................. (ถ้
Text491 | Text | (246.0,507.0,268.5,519.6) | วันที่ เดือน พ.ศ.
Text492 | Text | (293.4,507.0,318.6,519.6) | วันที่ เดือน พ.ศ.
Text493 | Text | (341.1,507.0,386.7,519.6) | วันที่ เดือน พ.ศ.
Text494 | Text | (248.0,576.7,570.5,590.8) | 1. ถูกต้องตามที่ควรและมีความเห็นเพิ่มเติมดังนี้ ..............................................................
Text495 | Text | (83.0,593.1,569.0,607.1) | ..............................................................................................................
Text496 | Text | (120.4,610.3,569.1,624.4) | 2. กรณีอื่นๆ .................................................................................................
Text497 | Text | (83.0,627.1,569.0,641.2) | ..............................................................................................................
Text498 | Text | (225.2,674.1,393.7,688.2) | ( ........................................................................................................ )
Text500 | Text | (290.0,698.2,314.8,710.8) | วันที่ เดือน พ.ศ.
Text501 | Text | (337.7,698.2,383.5,710.8) | วันที่ เดือน พ.ศ.
Text499 | Text | (243.0,698.7,265.6,711.3) | วันที่ เดือน พ.ศ.
